央视,#genre#
CCTV1,http://10.0.0.1:7088/rtp/239.76.253.151:9000?124.232.149.47:15970
CCTV2,http://10.0.0.1:7088/rtp/239.76.253.152:9000?124.232.149.47:15970
CCTV3,http://10.0.0.1:7088/rtp/239.76.253.153:9000?124.232.149.47:15970
CCTV4,http://10.0.0.1:7088/rtp/239.76.253.154:9000?124.232.149.47:15970
CCTV5,http://10.0.0.1:7088/rtp/239.76.253.155:9000?124.232.149.47:15970
CCTV5+,http://10.0.0.1:7088/rtp/239.76.253.168:9000?124.232.149.47:15970
CCTV6,http://10.0.0.1:7088/rtp/239.76.253.156:9000?124.232.149.47:15970
CCTV7,http://10.0.0.1:7088/rtp/239.76.253.157:9000?124.232.149.47:15970
CCTV8,http://10.0.0.1:7088/rtp/239.76.253.158:9000?124.232.149.47:15970
CCTV9,http://10.0.0.1:7088/rtp/239.76.253.159:9000?124.232.149.47:15970
CCTV10,http://10.0.0.1:7088/rtp/239.76.253.160:9000?124.232.149.47:15970
CCTV11,http://10.0.0.1:7088/rtp/239.76.252.251:9000?124.232.149.47:15970
CCTV12,http://10.0.0.1:7088/rtp/239.76.253.162:9000?124.232.149.47:15970
CCTV13,http://10.0.0.1:7088/rtp/239.76.253.93:9000?124.232.149.47:15970
CCTV14,http://10.0.0.1:7088/rtp/239.76.253.164:9000?124.232.149.47:15970
CCTV15,http://10.0.0.1:7088/rtp/239.76.252.252:9000?124.232.149.47:15970
CCTV16,http://10.0.0.1:7088/rtp/239.76.253.98:9000?124.232.149.47:15970
CCTV17,http://10.0.0.1:7088/rtp/239.76.252.238:9000?124.232.149.47:15970
CCTV4K,http://10.0.0.1:7088/rtp/239.76.254.101:9000?124.232.149.47:15970
CCTV4欧洲,http://10.0.0.1:7088/rtp/239.76.253.95:9000?124.232.149.47:15970
CCTV4美洲,http://10.0.0.1:7088/rtp/239.76.253.96:9000?124.232.149.47:15970
CGTN英文,http://10.0.0.1:7088/rtp/239.76.252.66:9000?124.232.149.47:15970
CGTN纪录,http://10.0.0.1:7088/rtp/239.76.252.67:9000?124.232.149.47:15970
CGTN西班牙语,http://10.0.0.1:7088/rtp/239.76.253.88:9000?124.232.149.47:15970
CGTN阿拉伯语,http://10.0.0.1:7088/rtp/239.76.253.97:9000?124.232.149.47:15970
CGTN法语,http://10.0.0.1:7088/rtp/239.76.253.87:9000?124.232.149.47:15970
CGTN俄语,http://10.0.0.1:7088/rtp/239.76.253.86:9000?124.232.149.47:15970
湖南,#genre#
湖南经视,http://10.0.0.1:7088/rtp/239.76.252.116:9000?124.232.149.47:15970
湖南都市,http://10.0.0.1:7088/rtp/239.76.252.117:9000?124.232.149.47:15970
湖南电视剧,http://10.0.0.1:7088/rtp/239.76.252.118:9000?124.232.149.47:15970
潇湘电影,http://10.0.0.1:7088/rtp/239.76.252.119:9000?124.232.149.47:15970
湖南公共,http://10.0.0.1:7088/rtp/239.76.252.123:9000?124.232.149.47:15970
湖南娱乐,http://10.0.0.1:7088/rtp/239.76.252.121:9000?124.232.149.47:15970
金鹰纪实,http://10.0.0.1:7088/rtp/239.76.252.122:9000?124.232.149.47:15970
金鹰卡通,http://10.0.0.1:7088/rtp/239.76.252.120:9000?124.232.149.47:15970
湖南国际,http://10.0.0.1:7088/rtp/239.76.252.124:9000?124.232.149.47:15970
浏阳新闻,http://10.0.0.1:7088/rtp/239.76.255.6:9000?124.232.149.47:15970
长沙新闻,http://10.0.0.1:7088/rtp/239.76.253.121:9000?124.232.149.47:15970
长沙影视,http://10.0.0.1:7088/rtp/239.76.252.204:9000?124.232.149.47:15970
长沙女性,http://10.0.0.1:7088/rtp/239.76.252.23:9000?124.232.149.47:15970
长沙政法,http://10.0.0.1:7088/rtp/239.76.253.122:9000?124.232.149.47:15970
常德新闻,http://10.0.0.1:7088/rtp/239.76.255.10:9000?124.232.149.47:15970
常德公共,http://10.0.0.1:7088/rtp/239.76.255.11:9000?124.232.149.47:15970
株洲新闻,http://10.0.0.1:7088/rtp/239.76.248.1:1234?124.232.149.47:15970
湘潭新闻综合,http://10.0.0.1:7088/rtp/239.76.255.4:9000?124.232.149.47:15970
衡阳新闻,http://10.0.0.1:7088/rtp/239.76.255.13:9000?124.232.149.47:15970
湘潭公共,http://10.0.0.1:7088/rtp/239.76.255.5:9000?124.232.149.47:15970
郴州新闻综合,http://10.0.0.1:7088/rtp/239.76.253.75:9000?124.232.149.47:15970
张家界新闻,http://10.0.0.1:7088/rtp/239.76.252.234:9000?124.232.149.47:15970
张家界公共,http://10.0.0.1:7088/rtp/239.76.252.235:9000?124.232.149.47:15970
衡阳公共,http://10.0.0.1:7088/rtp/239.76.248.14:1234?124.232.149.47:15970
株洲公共,http://10.0.0.1:7088/rtp/239.76.252.236:9000?124.232.149.47:15970
邵阳公共,http://10.0.0.1:7088/rtp/239.76.255.22:9000?124.232.149.47:15970
邵阳新闻,http://10.0.0.1:7088/rtp/239.76.255.21:9000?124.232.149.47:15970
娄底教育,http://10.0.0.1:7088/rtp/239.76.255.20:9000?124.232.149.47:15970
